Brazil/AM-20842882CA/2020	Brazil
Spain/CT-HUVH-88841/2021	Spain
Spain/CT-HUVH-95307/2021	Spain
Spain/CT-HUVH-53303/2021	Spain
Spain/CT-HUVH-Bellvitge20903/2021	Spain
Spain/CT-HUVH-65887/2021	Spain
Belgium/Jessa_55-2107-000145/2021	Belgium
Belgium/AZDelta19176-2106L/2021	Belgium
England/MILK-9E2FE0/2020	England
England/MILK-A06B0F/2020	England
England/CAMC-BD2BB0/2020	England
England/CAMC-BFBE03/2020	England
England/MILK-9E05B3/2020	England
England/MILK-A06237/2020	England
England/MILK-B01F43/2020	England
England/QEUH-A01621/2020	England
England/CAMC-A58BA4/2020	England
England/CAMC-B209F5/2020	England
England/MILK-B398DE/2020	England
England/MILK-EB6F86/2021	England
England/CAMC-BC2F11/2020	England
England/ALDP-BB3371/2020	England
England/MILK-BFCE11/2020	England
England/PORT-2E52BE/2021	England
England/LOND-12EB6E6/2021	England
Israel/CVL-2576/2021	Israel
Israel/CVL-1929/2021	Israel
Israel/CVL-31-ngs/2020	Israel
Israel/CVL-498ngs/2020	Israel
Israel/CVL-1967/2021	Israel
Israel/CVL-2069/2021	Israel
Israel/CVL-2544/2021	Israel
Israel/CVL-1017-ngs/2020	Israel
Israel/CVL-825ngs/2020	Israel
Israel/CVL-1648/2021	Israel
Israel/CVL-1933/2021	Israel
Israel/CVL-2568/2021	Israel
Israel/CVL-52/2020	Israel
Israel/CVL-448-ngs/2020	Israel
Israel/CVL-1919/2021	Israel
Israel/CVL-1656/2021	Israel
Israel/CVL-2579/2021	Israel
Spain/CT-HUVH-49838/2021	Spain
Spain/CT-HUVH-62552/2021	Spain
England/MILK-B3E208/2020	England
England/CAMC-BBCC7D/2020	England
England/CAMC-11E76EB/2021	England
England/QEUH-B12C75/2020	England
England/MILK-D1F7C0/2020	England
England/CAMC-ED59ED/2021	England
England/ALDP-B5BD5F/2020	England
England/CAMC-B362C4/2020	England
England/MILK-B3A284/2020	England
England/LOND-1287576/2020	England
England/MILK-B85FFC/2020	England
England/MILK-E73B18/2020	England
Spain/MC-ISCIII-2018161/2020	Spain
England/QEUH-EF8CCD/2021	England
England/MILK-1153028/2021	England
Brazil/SP-L94-CD2721/2021	Brazil
Israel/CVL-2062/2021	Israel
Israel/CVL-1492/2021	Israel
Israel/CVL-2083/2021	Israel
Israel/CVL-1533/2021	Israel
Israel/CVL-1020-ngs/2020	Israel
Israel/CVL-1575/2021	Israel
Israel/CVL-1012-ngs/2020	Israel
Israel/CVL-1597/2021	Israel
Israel/CVL-2580/2021	Israel
Israel/CVL-1009-ngs/2020	Israel
Israel/CVL-2366/2021	Israel
Israel/CVL-1572/2021	Israel
England/OXON-F48D9D/2020	England
Israel/CVL-132ngs/2020	Israel
Israel/CVL-1556/2021	Israel
England/CAMC-B366E6/2020	England
England/MILK-B8E904/2020	England
England/MILK-A7A7A8/2020	England
England/MILK-A7C3EE/2020	England
England/CAMC-B33230/2020	England
England/ALDP-B5C741/2020	England
England/CAMC-BBDCB8/2020	England
England/MILK-B8BF8D/2020	England
England/MILK-ACCBAB/2020	England
England/NORW-2231A8/2020	England
England/MILK-AC92A9/2020	England
Norway/7124/2020	Norway
England/MILK-11F1BEF/2021	England
England/CAMC-1207981/2021	England
England/MILK-CA62EC/2020	England
England/MILK-11767EE/2021	England
England/ALDP-B5BCE9/2020	England
England/CAMC-B99362/2020	England
England/MILK-C6164B/2020	England
England/CAMC-E52520/2021	England
England/ALDP-EF1A60/2021	England
Italy/APU-IZSPB_499PT/2021	Italy
England/MILK-BABD50/2020	England
England/MILK-ECA383/2021	England
England/CAMC-11AB7D1/2021	England
Portugal/PT2911/2021	Portugal
England/MILK-B55D64/2020	England
Israel/CVL-2075/2021	Israel
Israel/CVL-299ngs/2020	Israel
Israel/CVL-1007-ngs/2020	Israel
England/CAMC-C47818/2020	England
England/CAMC-B362D3/2020	England
England/CAMC-B32626/2020	England
England/QEUH-AE22C8/2020	England
England/CAMC-B321F8/2020	England
England/CAMC-1062CAB/2021	England
Spain/CT-HUVH-82590/2021	Spain
England/MILK-B59E8B/2020	England
England/CAMC-BBC75E/2020	England
England/MILK-B3E332/2020	England
England/CAMC-B5120F/2020	England
England/MILK-BB0AF7/2020	England
England/CAMC-115FEC8/2021	England
England/CAMC-B0A548/2020	England
Norway/7125/2020	Norway
England/CAMC-B52990/2020	England
England/MILK-B88DD1/2020	England
England/CAMC-B075C3/2020	England
Portugal/PT2091/2020	Portugal
Portugal/PT2098/2020	Portugal
Spain/MC-ISCIII-2018086/2020	Spain
Spain/CM-ISCIII-2018138/2020	Spain
England/MILK-BB166B/2020	England
England/NORW-222CE4/2020	England
Spain/CT-IrsiCaixaR004QZ1D9/2021	Spain
Israel/CVL-1996/2021	Israel
Israel/CVL-2505/2021	Israel
Israel/CVL-1527/2021	Israel
England/MILK-D099E1/2020	England
England/CAMC-B3232F/2020	England
England/QEUH-F56B0B/2021	England
England/CAMC-B51445/2020	England
England/MILK-AB799A/2020	England
Belgium/rega-2574/2021	Belgium
Belgium/rega-2417/2021	Belgium
England/CAMC-B775CE/2020	England
England/MILK-AB78BB/2020	England
England/MILK-B3B854/2020	England
England/PORT-2EE9DE/2020	England
Spain/CT-HUVH-51778/2021	Spain
Spain/CT-HUVH-67845/2021	Spain
Italy/CAM-INMI-143/2020	Italy
England/MILK-1261888/2021	England
England/CAMC-127EE4A/2021	England
England/CAMC-F7B64B/2021	England
England/CAMC-B77E87/2020	England
England/CAMC-CB7B47/2020	England
Spain/VC-IBV-98012610/2020	Spain
Spain/VC-IBV-98012606/2020	Spain
England/QEUH-B810EE/2020	England
England/QEUH-B80FE2/2020	England
England/ALDP-101C138/2021	England
England/ALDP-B46908/2020	England
